iter	Logloss
0	0.3610271092
1	0.2861630955
2	0.2659678849
3	0.2576617138
4	0.2536539338
5	0.2513870981
6	0.2500257259
7	0.2488724029
8	0.2481623844
9	0.2474726655
10	0.2468464877
11	0.2463041215
12	0.2458937527
13	0.2453682115
14	0.2451129365
15	0.2448180378
16	0.2445292899
17	0.2442637178
18	0.2440342942
19	0.2438709381
20	0.2436474922
21	0.2435025566
22	0.2432658485
23	0.2430059517
24	0.2428245039
25	0.2424456783
26	0.2421514931
27	0.2419305831
28	0.2418054316
29	0.24152122
30	0.2413646239
31	0.2410216042
32	0.2408330873
33	0.240622273
34	0.240443904
35	0.2402793527
36	0.2401992898
37	0.2401676881
38	0.2400059648
39	0.2398648735
40	0.2396913393
41	0.239543807
42	0.2393626138
43	0.2390430244
44	0.2389549883
45	0.2387948647
46	0.238650773
47	0.2385719092
48	0.2385341133
49	0.2383850185
50	0.2383246516
51	0.238196091
52	0.2380470873
53	0.2379887602
54	0.2378237955
55	0.2378102292
56	0.2377581347
57	0.2376215361
58	0.2374514869
59	0.2373577777
60	0.2371187148
61	0.2370412616
62	0.2370188714
63	0.2369520651
64	0.2367869474
65	0.2366339572
66	0.2365882523
67	0.2364832707
68	0.2363805945
69	0.2363639251
70	0.2362639032
71	0.2362159683
72	0.2360491697
73	0.2360072784
74	0.2359371131
75	0.235769251
76	0.2357229187
77	0.2357121243
78	0.2355353677
79	0.2354166236
80	0.2353073982
81	0.2353039227
82	0.2352561045
83	0.2352045953
84	0.2350914551
85	0.2350852867
86	0.2350489107
87	0.2350181243
88	0.2349578908
89	0.2348506822
90	0.2348281746
91	0.2347690609
92	0.234587602
93	0.2345302697
94	0.234463668
95	0.2344578761
96	0.2344088106
97	0.2343243294
98	0.2342126105
99	0.2342040824
100	0.234082505
101	0.2339943424
102	0.2339134631
103	0.2338279402
104	0.2338227388
105	0.2337759317
106	0.2337292552
107	0.2336691655
108	0.2335846049
109	0.2335517892
110	0.2333725152
111	0.2333218066
112	0.2332465404
113	0.233151324
114	0.2331326299
115	0.2330968354
116	0.2329978928
117	0.2329527729
118	0.2328773895
119	0.2327940552
120	0.2327448173
121	0.2326032699
122	0.23257228
123	0.2325024055
124	0.2324032097
125	0.2323986277
126	0.2323516836
127	0.2322986266
128	0.2322082308
129	0.23211046
130	0.2320959302
131	0.2319842112
132	0.2319769209
133	0.2318657587
134	0.2318144723
135	0.2317920639
136	0.2317421015
137	0.2316443217
138	0.2316416254
139	0.2315394333
140	0.2315202807
141	0.2314608839
142	0.2313599069
143	0.2313019109
144	0.2311552047
145	0.2310239371
146	0.2309843701
147	0.2309522996
148	0.2308455369
149	0.2308258959
150	0.2307441709
151	0.2306583968
152	0.2305252525
153	0.2304733226
154	0.2304093802
155	0.2303792893
156	0.230256267
157	0.2302119583
158	0.2301412966
159	0.2301103209
160	0.2300798785
161	0.2300325016
162	0.2300273096
163	0.2299793567
164	0.2299262475
165	0.2298896037
166	0.2298869865
167	0.2298126677
168	0.2297715025
169	0.2297675525
170	0.2297454336
171	0.2296929225
172	0.2296708711
173	0.2296370786
174	0.229555042
175	0.2294974255
176	0.2294898846
177	0.2294265656
178	0.2293254205
179	0.2293151818
180	0.2292258605
181	0.229204823
182	0.2291305266
183	0.2290900623
184	0.2290239442
185	0.2289605191
186	0.2288738252
187	0.2287563813
188	0.2287077032
189	0.2286725594
190	0.2285807874
191	0.2285547794
192	0.2284909576
193	0.2284527243
194	0.2284024535
195	0.2283158997
196	0.2282366015
197	0.2281469247
198	0.2280362137
199	0.2279698774
200	0.2279232419
201	0.2279144711
202	0.2278797998
203	0.2278428718
204	0.2277966959
205	0.2277626581
206	0.2276554781
207	0.2275520301
208	0.2275190304
209	0.2274260424
210	0.2273266305
211	0.2272712653
212	0.2272483223
213	0.2271041089
214	0.2270701438
215	0.2270680466
216	0.2270438883
217	0.2269850367
218	0.2269269929
219	0.2268562078
220	0.2268062027
221	0.226766682
222	0.2267079623
223	0.2266459348
224	0.2265981932
225	0.226544252
226	0.2264388214
227	0.2264213989
228	0.2263214692
229	0.2262960722
230	0.226197665
231	0.2259822971
232	0.2259415608
233	0.2258931023
234	0.2258759035
235	0.2258259076
