iter	Passed	Remaining
0	10784	3159901
1	22418	3273077
2	35199	3414307
3	42554	3085182
4	49974	2888517
5	54883	2634400
6	61252	2511340
7	65979	2358769
8	72639	2300254
9	81047	2301740
10	89160	2293863
11	99195	2331104
12	110642	2391585
13	119549	2390982
14	130620	2429534
15	143641	2495763
16	174929	2850318
17	194794	2986853
18	217065	3141733
19	238230	3263755
20	248315	3228099
21	255503	3158951
22	261867	3085478
23	267499	3009367
24	272820	2935548
25	277845	2863947
26	283876	2807219
27	289413	2749426
28	294914	2694908
29	300274	2642419
30	304758	2585534
31	311631	2551481
32	316333	2501906
33	324582	2482102
34	329617	2439172
35	336206	2409479
36	343045	2382774
37	348270	2346244
38	353509	2311410
39	358781	2278262
40	364557	2249583
41	370344	2222068
42	375367	2191096
43	381187	2165836
44	386504	2138655
45	392502	2116100
46	398590	2094722
47	405454	2077955
48	410267	2051338
49	415445	2027372
50	420779	2004889
51	426267	1983781
52	432157	1965093
53	437914	1946287
54	442770	1924039
55	448865	1907676
56	457726	1903176
57	463628	1886489
58	470018	1872108
59	478064	1864452
60	486221	1857207
61	491411	1838828
62	497986	1825950
63	503057	1807861
64	508213	1790476
65	514197	1776317
66	518903	1758075
67	523821	1740936
68	528615	1723744
69	533692	1707815
70	538177	1690331
71	543551	1675950
72	548212	1659657
73	554330	1648008
74	559567	1633937
75	564482	1619172
76	569474	1604883
77	574334	1590464
78	579303	1576585
79	584314	1563040
80	589212	1549410
81	593988	1535677
82	599379	1523724
83	604109	1510272
84	616229	1515198
85	621303	1502687
86	626895	1491578
87	632064	1479604
88	637519	1468442
89	648627	1470221
90	661769	1476254
91	673743	1479305
92	683273	1476751
93	688335	1464542
94	693786	1453300
95	699649	1443028
96	705355	1432525
97	710966	1421933
98	716707	1411696
99	722547	1401742
100	730293	1395511
101	736865	1387041
102	743886	1379439
103	749463	1369212
104	756126	1361028
105	763486	1354107
106	768179	1342520
107	774387	1333666
108	781655	1326662
109	787131	1316656
110	793063	1307483
111	798334	1297293
112	804289	1288286
113	810378	1279545
114	816059	1270214
115	822407	1261969
116	829082	1254252
117	835178	1245689
118	842593	1239108
119	849733	1232113
120	856237	1224207
121	862758	1216348
122	869042	1208180
123	874864	1199410
124	880436	1190349
125	887842	1183790
126	895738	1177860
127	902654	1170630
128	909682	1163546
129	916671	1156416
130	922563	1147922
131	931038	1142637
132	959355	1161324
133	970426	1158717
134	983524	1158373
135	993393	1154089
136	1000968	1147094
137	1007994	1139471
138	1014794	1131605
139	1022176	1124394
140	1027979	1115467
141	1034922	1107804
142	1040579	1098793
143	1046587	1090195
144	1052420	1081452
145	1058470	1072969
146	1064741	1064741
147	1070958	1056486
148	1077211	1048293
149	1083342	1040009
150	1089460	1031740
151	1096243	1024122
152	1102504	1016033
153	1108958	1008144
154	1114836	999757
155	1120647	991341
156	1126507	983003
157	1132271	974613
158	1138383	966551
159	1144195	958263
160	1149313	949432
161	1155669	941656
162	1161160	933202
163	1167917	925787
164	1174109	917940
165	1179671	909626
166	1185889	901844
167	1192092	894069
168	1197817	885959
169	1204265	878405
170	1211028	871090
171	1218540	864313
172	1224476	856426
173	1231291	849166
174	1237338	841389
175	1243326	833593
176	1249739	826099
177	1255782	818375
178	1262107	810850
179	1267866	802982
180	1274719	795819
181	1280550	788031
182	1286510	780342
183	1292589	772744
184	1299511	765657
185	1305923	758278
186	1311453	750403
187	1317184	742668
188	1323823	735457
189	1330248	728135
190	1336026	720475
191	1343781	713884
192	1349681	706310
193	1355595	698760
194	1361923	691438
195	1367216	683608
196	1372901	675997
197	1379041	668626
198	1385102	661229
199	1391939	654211
200	1397523	646615
201	1404164	639520
202	1409439	631817
203	1415540	624503
204	1420376	616651
205	1428626	610287
206	1434922	603083
207	1440799	595715
208	1447051	588513
209	1453564	581425
210	1460077	574343
211	1465999	567037
212	1472508	559968
213	1479247	552989
214	1485212	545729
215	1491854	538725
216	1497919	531519
217	1503846	524276
218	1509879	517082
219	1516437	510074
220	1522392	502871
221	1528544	495744
222	1534392	488528
223	1540122	481288
224	1546126	474145
225	1553145	467318
226	1559588	460319
227	1566160	453362
228	1573161	446530
229	1579339	439468
230	1585224	432334
231	1591089	425204
232	1598002	418361
233	1604528	411417
234	1610663	404379
235	1619844	398097
236	1626981	391299
237	1633044	384245
238	1638896	377151
239	1645760	370296
240	1652278	363364
241	1658137	356294
242	1664670	349375
243	1670971	342412
244	1677148	335429
245	1683129	328415
246	1689586	321500
247	1696217	314621
248	1701551	307509
249	1707509	300521
250	1712921	293448
251	1719112	286518
252	1725125	279565
253	1730377	272500
254	1736451	265574
255	1741762	258542
256	1746924	251502
257	1753363	244655
258	1759663	237792
259	1766298	230977
260	1773077	224182
261	1779245	217312
262	1784372	210325
263	1797550	204267
264	1806462	197688
265	1812792	190820
266	1819392	183983
267	1825680	177118
268	1831921	170252
269	1839215	163485
270	1845376	156618
271	1851609	149762
272	1858663	142974
273	1864646	136105
274	1870359	129224
275	1876317	122368
276	1882566	115536
277	1889570	108752
278	1895509	101909
279	1900718	95035
280	1906643	88207
281	1913147	81410
282	1919796	74621
283	1925418	67796
284	1930670	60968
285	1936742	54174
286	1943568	47404
287	1949533	40615
288	1954513	33815
289	1960313	27038
290	1966944	20277
291	1973934	13520
292	1979434	6755
293	1985865	0
